Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Colorado,Manufacturing,2019,2176679,28246842,25927560,1227318,5795236,2248374,1762381,1784481,5978479,2346964,1839749,1791767,1501972,263014,1238958,56967,66970,1115022
Colorado,Manufacturing,2020,2177982,26876503,24904180,922970,5941990,2319958,1831953,1790078,6047932,2349395,1769099,1929438,1311314,241539,1069775,54818,67674,947283
Colorado,Manufacturing,2021,2372271,29443133,27420052,923943,5979904,2341973,1753948,1883983,6493001,2188762,2036111,2268127,1489811,488068,1001743,38024,46386,917332
Connecticut,Manufacturing,2018,3456596,25386007,22877885,1140759,9629761,3284876,3648303,2696582,9325932,3134735,3398670,2792527,1420621,241874,1178747,38540,57053,1083153
Connecticut,Manufacturing,2019,3549413,24757593,22329522,1012451,9150110,2959529,3381278,2809302,9782567,3229328,3810700,2742539,1544730,355911,1188819,42917,69564,1076337
Connecticut,Manufacturing,2020,3267370,23062635,20818598,994373,9598901,3342242,3499811,2756848,9093513,2961764,3240802,2890947,1778760,566084,1212676,51898,63250,1097529
Connecticut,Manufacturing,2021,3430329,23637306,21302653,1032758,9069552,2974501,3210707,2884344,9600466,3186044,3224838,3189585,1704887,548334,1156553,36147,75401,1045005
Delaware,Manufacturing,2018,487486,11299642,10010427,983594,2259911,1053645,815491,390775,2249467,1057925,761392,430151,508990,103898,405093,28082,10301,366710
Delaware,Manufacturing,2019,468607,9902256,8708803,898831,2210293,1025025,777538,407730,1875603,709689,739798,426116,505128,94609,410518,33497,9744,367277
Delaware,Manufacturing,2020,432909,9759413,8582824,908168,1846799,692205,746504,408090,1718132,568338,684882,464912,362433,104910,257522,26175,13051,218296
